"Name","Description","Protocol","Threats"
"Command Frame","Control Frame, besteht aus Start/Stop Transmissions, Konfigurationsfragen, Header-Info, Control Commands an PMUs, historische PMU-Datenabfragen.","IEC 61850 GOOSE (with message authentication per IEC 62351-6), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7 (role-based access, audit trails), BSI IT-Grundschutz (logging, anomaly detection)","<ul><li>Insider Privilege Abuse</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Exploit Vulnerable Protocols</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>Unauthorized Voltage Setpoint Change</li><li>Command Injection</li><li>Replay Attack</li><li>Man-in-the-Middle</li></ul>"
"Data Frame","Synchrophasor Data Frame (U/I, Frequenz, ROCOF), Antworten auf WAMS-Anfragen.","IEC 61850 Sampled Values (IEC 62351-6 authentication), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7 (RBAC, audit), BSI IT-Grundschutz (monitoring)","<ul><li>False Data Injection</li><li>Backdoored Firmware</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Aggregated InfoReports","Aggregierte InfoReports von SMGWs an DSO-DMS (Batch, nicht Echtzeit).","HTTPS/TLS 1.2 (TR-03109), CIM-XML (IEC 61970/61968), DLMS/COSEM over TLS (IEC 62056), TR-02102 (cryptography), BSI IT-Grundschutz (logging, access control)","<ul><li>SCADA Operational data</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>Unauthorized Voltage Setpoint Change</li><li>Fingerprinting</li><li>DDoS</li><li>Lateral Movement</li><li>Eavesdropping</li><li>Credential Compromise</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li></ul>"
"Aggregated Phasorreports","IEC 61850 MMS Report.","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), CIM-XML over TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Backdoored Firmware</li><li>Man-in-the-Middle</li></ul>"
"GOOSE Confirmation","Bestätigung, dass eine Aktion ausgeführt wurde (z.B. Breaker/Field Device aktiv).","IEC 61850 GOOSE (IEC 62351-6 authentication), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>Backdoored Firmware</li></ul>"
"GOOSE-Trip","Kurzfristiges Signal an Protected-IED (unter 4ms).","IEC 61850 GOOSE (IEC 62351-6 authentication, MACsec), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li></ul>"
"Control Commands","Manuelles/Remote Switching, Konfigurationsänderungen.","TLS 1.2/3 (IEC 62351-3), IEC 61850 MMS, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Unauthorized Voltage Setpoint Change</li><li>Man-in-the-Middle</li></ul>"
"SCADA-Telemetry/Data","Strom, Spannung, Alarm, Status als MMS Report, Logs/Historische Daten.","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7, BSI IT-Grundschutz","<ul><li>Corrupting Telemetry</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>DDoS</li><li>Ransomeware</li><li>Exploit Vulnerable Protocols</li><li>Lateral Movement</li><li>Man-in-the-Middle</li></ul>"
"Live Phasor Data","Live Phasor Dashboard Data als JSON.","WebSocket/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Fingerprinting</li><li>DDoS</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>Exploit Vulnerable Protocols</li></ul>"
"CLS-Setpoint","TargetPower, TargetVoltage, TargetFrequency, LoadReduction/Increase, Scheduling.","HTTPS/TLS 1.2 (IEC 62351-3), CMS-signed CLS-JSON (TR-03109), BSI IT-Grundschutz","<ul><li>Ransomeware</li><li>Unauthorized Voltage Setpoint Change</li><li>Command Injection</li><li>Load Manipulation</li><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Register/Deregister DER","Onboarding/Offboarding von DERs beim VPP Operator.","HTTPS/TLS 1.2 (IEC 62351-3), CMS-signed IEC 63110 Device Provisioning, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Rogue Device Injection</li><li>Replay Attack</li><li>Third Party Integration</li><li>Third Party Integration</li></ul>"
"MMS Reports","Periodische Status/Eventlogs/Messwerte (IEC 61850 MMS, 1s Raster).","TCP/TLS 1.2/3 (IEC 62351-3), IEC 61850 MMS, BSI IT-Grundschutz","<ul><li>Microgrid Compromise</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>DDoS</li><li>Replay Attack</li><li>Microgrid Compromise</li><li>Ransomeware</li><li>Corrupting Telemetry</li><li>Exploit Vulnerable Protocols</li><li>Third Party Integration</li><li>Eavesdropping</li></ul>"
"Control","Operate/Target Power (CLS-JSON).","MMS/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz","<ul><li>DER-Gateway Exploitation</li><li>Microgrid Compromise</li><li>Replay Attack</li><li>Command Injection</li><li>DDoS</li><li>Fingerprinting</li><li>Exploit Vulnerable Protocols</li><li>Third Party Integration</li><li>Unauthorized Voltage Setpoint Change</li></ul>"
"Meter Values","Echtzeit-Telemetrie (P/Q, SOC), Status, Error Codes (CLS-JSON).","MMS/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz","<ul><li>EVSE-Gateway Compromise</li><li>Microgrid Compromise</li><li>Backdoored Firmware</li><li>Lateral Movement</li><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Third Party Integration</li></ul>"
"SetChargingProfile","EV charging/discharging, V2G Setpoints, Power Limits, Zeitfenster.","ISO 15118-20 ‘ScheduleExchange’ over TLS 1.3, IEC 63110, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li><li>Timestamp Tampering</li><li>Insider Privilege Abuse</li><li>Communication Protocol Downgrade</li><li>API Abuse</li><li>IoT Botnet Participation</li><li>DDoS</li><li>Command Injection</li><li>Replay Attack</li><li>Microgrid Compromise</li><li>Load Manipulation</li><li>Exploit Vulnerable Protocols</li><li>Unauthorized Voltage Setpoint Change</li></ul>"
"Pricing","Strompreis-Kommunikation (intervallabhängig).","IEC 62351-7 (secure pricing signals), OpenADR 3.0 over TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Fingerprinting</li><li>Pricing Signal Manipulation</li></ul>"
"DER Status/Telemetry","Echtzeit/periodische Status/Telemetrie/Alarm/Event von Customer DER/IoT.","IEC 61850-7-420 over IEC 62351-3 TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Rogue Device Injection</li><li>Communication Protocol Downgrade</li><li>Privacy Leakage via Smart Meter Data</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>DDoS</li><li>DER-Gateway Exploitation</li><li>Load Manipulation</li><li>Corrupting Telemetry</li><li>Lateral Movement</li><li>IoT Botnet Participation</li><li>Eavesdropping</li></ul>"
"Device Data/Control","Setpoints, Konfigurationsdaten.","HTTPS/TLS 1.3 (REST/JSON), MQTT over TLS 1.3, IEC 61850-7-420 over TLS 1.3, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Communication Protocol Downgrade</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>Command Injection</li><li>Replay Attack</li><li>DER-Gateway Exploitation</li><li>Microgrid Compromise</li><li>Load Manipulation</li><li>Backdoored Firmware</li><li>Privacy Leakage via Smart Meter Data</li></ul>"
"Meter Data/Status","Zählerdaten/Status.","DLMS/COSEM over TLS 1.3 (IEC 62056), IEC 60870-5-104 with IEC 62351-3 TLS, HTTPS/TLS 1.3 (REST/JSON), BSI IT-Grundschutz","<ul><li>API Abuse</li><li>Eavesdropping</li></ul>"
"Aggregated Data/Commands","Aggregierte Telemetrie von Gateways an Head-End, VPP-Operator Commands, Alert Events.","HTTPS/TLS 1.3, IEC 61850 over IEC 62351-3 TLS, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Timestamp Tampering</li><li>Fingerprinting</li><li>Load Manipulation</li><li>Data Poisoning via Head-End</li></ul>"
"Firmware/Software Update","Remote Update für alle Geräte (Microgrid Controller, Customer DER/IoT, PMUs, etc.).","HTTPS/TLS 1.3, Code Signing (CMS, PKCS#7), BSI IT-Grundschutz","<ul><li>Insider Privilege Abuse</li><li>DDoS</li><li>Replay Attack</li><li>DER-Gateway Exploitation</li><li>Microgrid Compromise</li><li>Third Party Integration</li><li>Ransomeware</li><li>Backdoored Firmware</li><li>Lateral Movement</li><li>Eavesdropping</li></ul>"
"Renewable generation/load forecasts","Prognose für erneuerbare Energien an DSO-DMS.","CIM-XML/HTTPS (IEC 61970/61968), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Data Poisoning via Head-End</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Renewable generation/load forecasting","Prognose für erneuerbare Energien an DSO-DMS.","CIM-XML/HTTPS (IEC 61970/61968), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Aggregated meter readings","Aggregierte Zählerdaten für Abrechnung.","SFTP/TLS 1.3, BSI IT-Grundschutz","<ul></ul>"
"OCSP Response","Antwort auf OCSP Request (Zertifikatsstatus).","HTTPS/TLS 1.2/3, BSI IT-Grundschutz","<ul><li>OCSP Responder Compromise</li><li>Exploit Vulnerable Protocols</li><li>Communication Protocol Downgrade</li><li>Man-in-the-Middle</li></ul>"
"PollResponse","Statusabfrage (SMGW) für Outage-Erkennung.","ANSI C12.22 / DLMS-COSEM over TLS 1.2/3 (IEC 62056), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li></ul>"
"Control Message","Commands (Setpoints, Load Reduction, DER Dispatch, Konfiguration).","HTTPS/TLS 1.2/3 with CMS-signed JSON (TR-03109), BSI IT-Grundschutz","<ul><li>Communication Protocol Downgrade</li><li>Fingerprinting</li><li>Timestamp Tampering</li><li>DoS</li><li>Man-in-the-Middle</li><li>Traffic Analysis</li><li>Exploit Vulnerable Protocols</li><li>Eavesdropping</li></ul>"
"OCSP Request","Zertifikatsstatusabfrage (SMGW/System).","HTTP(S)/TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li><li>Exploit Vulnerable Protocols</li></ul>"
"IDS-Syslog Alarm","Alarm vom IDS an SIEM.","TLS 1.2/3 (RFC 5424, RFC 5425), BSI IT-Grundschutz","<ul><li>Blind Security Monitoring</li><li>DDoS</li><li>Falsifying Log</li><li>Protection System Bypass</li><li>Exploit Vulnerable Protocols</li></ul>"
"MeterReading Batches","Batch-Übertragung von Zählerdaten an Operational Data Store.","SFTP/TLS 1.3 or HTTPS/TLS 1.3 + CIM-XML, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li><li>DDoS</li><li>Ransomeware</li><li>Lateral Movement</li><li>DoS</li></ul>"
"PowerStatusPoll","Gerätestatus an Outage Management System.","ANSI C12.22 / DLMS-COSEM over TLS 1.2/3 (IEC 62056), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li><li>DoS</li></ul>"
"InfoReport","TAC-Container mit Meter Readings, Status, Zeitstempel.","HTTPS/TLS 1.2 with CMS-signed JSON/XML (TR-03109), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Timestamp Tampering</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>DDoS</li><li>Replay Attack</li><li>Ransomeware</li><li>Backdoored Firmware</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li><li>Fingerprinting</li><li>Eavesdropping</li></ul>"
"Enroll-ACK","Bestätigung der Registrierung/Deregistrierung (inkl. Baseline Power).","HTTPS/TLS 1.2, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li></ul>"
"CRL push/download","Push/Download von Zertifikats-Widerrufslisten (CRL) durch OCSP-Responder.","HTTPS/TLS 1.2/3, BSI IT-Grundschutz","<ul><li>DoS</li></ul>"
"SIEM Response","Antwort auf IDS-Alarm (Commands/Aktionen).","TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Exploiting Vulnerable Protocols</li></ul>"
"Outage Alarm","Alarm vom Outage Management an SCADA bei großem Ausfall.","TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Vulnerable transport protocol</li><li>Alarm Reduction</li><li>DoS</li></ul>"
"Outage/Restore Reports","Ausfall-/Wiederherstellungs-Reports im Operational Data Storage.","SFTP/TLS 1.3 or HTTPS/TLS 1.3 + CIM-XML, BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"DSO-DMS-Data","Logs, Wetter, Alerts, Planungsdaten.","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Exploitation of Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Status Report","Periodische Statusmeldungen/Messwerte/Eventlogs.","MMS/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Register/Deregister","Onboarding/Offboarding von Geräten (Registrierungs-Handshake).","IEC 63110 Device Provisioning over HTTPS/TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Communication Protocol Downgrade</li><li>API Abuse</li><li>Backdoored Firmware</li><li>Man-in-the-Middle</li><li>Third Party Integration</li></ul>"
"Aggregierte DER Telemetrie","DER Telemetrie (P/Q, SOC), optimierte Setpoints.","HTTPS/TLS 1.3, IEC 61850 over IEC 62351-3 TLS, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>Third Party Integration</li></ul>"
"Control Messages","Tarifänderungen, Konfigurationen, LoadReduction/Shedding/Increase, Gateway-Konfiguration.","HTTPS/TLS 1.2/3 with code signing (TR-03109), BSI IT-Grundschutz","<ul><li>Communication Protocol Downgrade</li><li>Timestamp Tampering</li><li>DoS</li><li>Man-in-the-Middle</li><li>Traffic Analysis</li><li>Exploit Vulnerable Protocols</li><li>Eavesdropping</li></ul>"
"Real-Time Event/Alarm Escalation","Event/Alarm Reports (Grid Faults, Device Failures) vom SCADA an DSO-DMS.","HTTPS/TLS 1.2/3 via GOOSE (IEC 62351-6), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li></ul>"
"Outage Restoration Command","Restoration/Switching Command an DSO-DMS nach Outage.","TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li></ul>"
