"Name","Description","Protocol","Threats","Mitigated"
"SetChargingProfile","EV charging/discharging, V2G Setpoints, Power Limits, Zeitfenster.","ISO 15118-20 ‘ScheduleExchange’ over TLS 1.3, IEC 63110, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li><li>Timestamp Tampering</li><li>Insider Privilege Abuse</li><li>Communication Protocol Downgrade</li><li>API Abuse</li><li>IoT Botnet Participation</li><li>DDoS</li><li>Command Injection</li><li>Replay Attack</li><li>Microgrid Compromise</li><li>Load Manipulation</li><li>Exploit Vulnerable Protocols</li><li>Unauthorized Voltage Setpoint Change</li></ul>","<ul><li><b>Man-in-the-Middle</b>: ISO 15118-20 over TLS 1.3, IEC 63110</li><li><b>Timestamp Tampering</b>: ISO 15118-20 (signed timestamps), BSI IT-Grundschutz</li><li><b>Insider Privilege Abuse</b>: BSI IT-Grundschutz (RBAC, logging)</li><li><b>Communication Protocol Downgrade</b>: ISO 15118-20 (enforced TLS 1.3), BSI IT-Grundschutz (config mgmt)</li><li><b>API Abuse</b>: (no direct mitigation; BSI IT-Grundschutz for API security)</li><li><b>IoT Botnet Participation</b>: (no direct mitigation; BSI IT-Grundschutz for anomaly detection)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Command Injection</b>: ISO 15118-20 (signed messages), BSI IT-Grundschutz (input validation)</li><li><b>Replay Attack</b>: ISO 15118-20 (sequence numbers), IEC 63110 (nonces)</li><li><b>Microgrid Compromise</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Load Manipulation</b>: ISO 15118-20 (RBAC), BSI IT-Grundschutz (access control)</li><li><b>Exploit Vulnerable Protocols</b>: ISO 15118-20 (enforced TLS 1.3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Unauthorized Voltage Setpoint Change</b>: ISO 15118-20 (RBAC), BSI IT-Grundschutz (access control)</li></ul>"
"Pricing","Kommunikation der aktuellen Strompreise.","IEC 62351-7 (secure pricing signals), OpenADR 3.0 over TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Fingerprinting</li><li>Pricing Signal Manipulation</li></ul>","<ul><li><b>Fingerprinting</b>: (limited by TLS, not fully mitigated)</li><li><b>Pricing Signal Manipulation</b>: IEC 62351-7 (signed pricing signals), OpenADR 3.0 over TLS 1.2/3 (data integrity)</li></ul>"
"DER Status/Telemetry","Echtzeit/periodische Status/Telemetrie/Alarm/Event von Customer DER/IoT.","IEC 61850-7-420 over IEC 62351-3 TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Rogue Device Injection</li><li>Communication Protocol Downgrade</li><li>Privacy Leakage via Smart Meter Data</li><li>IoT Botnet Participation</li><li>DDoS</li><li>DER-Gateway Exploitation</li><li>Load Manipulation</li><li>Corrupting Telemetry</li><li>Lateral Movement</li><li>Eavesdropping</li></ul>","<ul><li><b>Rogue Device Injection</b>: IEC 61850-7-420 (device auth), BSI IT-Grundschutz (device inventory)</li><li><b>Communication Protocol Downgrade</b>: IEC 62351-3 (enforced TLS 1.2/3), BSI IT-Grundschutz (config mgmt)</li><li><b>Privacy Leakage via Smart Meter Data</b>: IEC 62351-3 (TLS 1.2/3, encryption), BSI IT-Grundschutz (logical access control)</li><li><b>IoT Botnet Participation</b>: (no direct mitigation; BSI IT-Grundschutz for anomaly detection)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>DER-Gateway Exploitation</b>: (no direct mitigation; BSI IT-Grundschutz for patching)</li><li><b>Load Manipulation</b>: IEC 61850-7-420 (RBAC), BSI IT-Grundschutz (access control)</li><li><b>Corrupting Telemetry</b>: IEC 62351-3 (TLS, message integrity), IEC 61850-7-420</li><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Eavesdropping</b>: IEC 62351-3 (TLS 1.2/3)</li></ul>"
"Device Data/Control","Setpoints, Konfigurationsdaten.","HTTPS/TLS 1.3 (REST/JSON), MQTT over TLS 1.3, IEC 61850-7-420 over TLS 1.3, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Communication Protocol Downgrade</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>Command Injection</li><li>Replay Attack</li><li>DER-Gateway Exploitation</li><li>Microgrid Compromise</li><li>Load Manipulation</li><li>Backdoored Firmware</li><li>Privacy Leakage via Smart Meter Data</li></ul>","<ul><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Communication Protocol Downgrade</b>: HTTPS/TLS 1.3, MQTT over TLS 1.3, IEC 61850-7-420 over TLS 1.3 (enforced TLS), BSI IT-Grundschutz (config mgmt)</li><li><b>API Abuse</b>: HTTPS/TLS 1.3 (authentication, rate limiting), BSI IT-Grundschutz (API security)</li><li><b>Privacy Leakage via Smart Meter Data</b>: HTTPS/TLS 1.3, MQTT over TLS 1.3, IEC 61850-7-420 over TLS 1.3 (encryption), BSI IT-Grundschutz (access control)</li><li><b>IoT Botnet Participation</b>: (no direct mitigation; BSI IT-Grundschutz for anomaly detection)</li><li><b>Rogue Device Injection</b>: (no direct mitigation; BSI IT-Grundschutz for device inventory)</li><li><b>Command Injection</b>: HTTPS/TLS 1.3, MQTT over TLS 1.3 (signed messages, input validation), BSI IT-Grundschutz</li><li><b>Replay Attack</b>: HTTPS/TLS 1.3, MQTT over TLS 1.3 (nonces, sequence numbers), BSI IT-Grundschutz (logging)</li><li><b>DER-Gateway Exploitation</b>: (no direct mitigation; BSI IT-Grundschutz for patching)</li><li><b>Microgrid Compromise</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Load Manipulation</b>: HTTPS/TLS 1.3, MQTT over TLS 1.3 (RBAC), BSI IT-Grundschutz (access control)</li><li><b>Backdoored Firmware</b>: (no direct mitigation; BSI IT-Grundschutz for supply chain)</li></ul>"
"Meter Data/Status","Zählerdaten/Status.","DLMS/COSEM over TLS 1.3 (IEC 62056), IEC 60870-5-104 with IEC 62351-3 TLS, HTTPS/TLS 1.3 (REST/JSON), BSI IT-Grundschutz","<ul><li>API Abuse</li><li>Eavesdropping</li></ul>","<ul><li><b>API Abuse</b>: HTTPS/TLS 1.3 (authentication, rate limiting), BSI IT-Grundschutz (API security)</li><li><b>Eavesdropping</b>: DLMS/COSEM over TLS 1.3, IEC 60870-5-104 with IEC 62351-3 TLS, HTTPS/TLS 1.3 (encryption)</li></ul>"
"Aggregated Data/Commands","Aggregierte Telemetrie von Gateways an Head-End, VPP-Operator Commands, Alert Events.","HTTPS/TLS 1.3, IEC 61850 over IEC 62351-3 TLS, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Timestamp Tampering</li><li>Fingerprinting</li><li>Load Manipulation</li><li>Data Poisoning via Head-End</li></ul>","<ul><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Timestamp Tampering</b>: IEC 62351-3 (signed timestamps, TLS), HTTPS/TLS 1.3</li><li><b>Fingerprinting</b>: (limited by TLS, not fully mitigated)</li><li><b>Load Manipulation</b>: HTTPS/TLS 1.3 (RBAC), BSI IT-Grundschutz (access control)</li><li><b>Data Poisoning via Head-End</b>: HTTPS/TLS 1.3, IEC 62351-3 (signed data), BSI IT-Grundschutz (input validation)</li></ul>"
"Firmware/Software Update","Remote Firmware/Software Update für alle Geräte (Microgrid Controller, Customer DER/IoT, PMUs, etc.).","HTTPS/TLS 1.3, Code Signing (CMS, PKCS#7), BSI IT-Grundschutz","<ul><li>Insider Privilege Abuse</li><li>DDoS</li><li>Replay Attack</li><li>DER-Gateway Exploitation</li><li>Microgrid Compromise</li><li>Third Party Integration</li><li>Ransomeware</li><li>Backdoored Firmware</li><li>Lateral Movement</li><li>Eavesdropping</li></ul>","<ul><li><b>Insider Privilege Abuse</b>: BSI IT-Grundschutz (RBAC, logging)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Replay Attack</b>: HTTPS/TLS 1.3 (nonces, sequence numbers), Code Signing (CMS, PKCS#7)</li><li><b>DER-Gateway Exploitation</b>: (no direct mitigation; BSI IT-Grundschutz for patching)</li><li><b>Microgrid Compromise</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Third Party Integration</b>: (no direct mitigation; BSI IT-Grundschutz for access control)</li><li><b>Ransomeware</b>: BSI IT-Grundschutz (backup, anomaly detection)</li><li><b>Backdoored Firmware</b>: Code Signing (CMS, PKCS#7), BSI IT-Grundschutz (supply chain)</li><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Eavesdropping</b>: HTTPS/TLS 1.3 (encryption)</li></ul>"
"Renewable generation/load forecasts","Prognose für erneuerbare Energien an DSO-DMS.","CIM-XML/HTTPS (IEC 61970/61968), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Data Poisoning via Head-End</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>False Data Injection</b>: CIM-XML (signed data), HTTPS (TLS 1.2/3, message integrity)</li><li><b>Data Poisoning via Head-End</b>: CIM-XML (validation), BSI IT-Grundschutz (input validation)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS (TLS 1.2/3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Man-in-the-Middle</b>: HTTPS (TLS 1.2/3), CIM-XML</li></ul>"
"Renewable generation/load forecasting","Prognose für erneuerbare Energien an DSO-DMS.","CIM-XML/HTTPS (IEC 61970/61968), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>False Data Injection</b>: CIM-XML (signed data), HTTPS (TLS 1.2/3, message integrity)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS (TLS 1.2/3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Man-in-the-Middle</b>: HTTPS (TLS 1.2/3), CIM-XML</li></ul>"
"Aggregated meter readings","Aggregierte Zählerdaten (Abrechnung).","SFTP/TLS 1.3, BSI IT-Grundschutz","<ul></ul>","<ul></ul>"
"OCSP Response","Antwort auf OCSP Request (Zertifikatsstatus).","HTTPS/TLS 1.2/3, BSI IT-Grundschutz","<ul><li>OCSP Responder Compromise</li><li>Exploit Vulnerable Protocols</li><li>Communication Protocol Downgrade</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>OCSP Responder Compromise</b>: (no direct mitigation; BSI IT-Grundschutz for hardening)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Communication Protocol Downgrade</b>: HTTPS/TLS 1.2/3 (enforced TLS), BSI IT-Grundschutz (config mgmt)</li><li><b>Man-in-the-Middle</b>: HTTPS/TLS 1.2/3 (IEC 62351-3)</li></ul>"
"PollResponse","Statusabfrage (SMGW) für Outage-Erkennung.","ANSI C12.22 / DLMS-COSEM over TLS 1.2/3 (IEC 62056), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li><li>DoS</li></ul>","<ul><li><b>Exploit Vulnerable Protocols</b>: DLMS/COSEM over TLS 1.2/3 (IEC 62056), BSI IT-Grundschutz (patch mgmt)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Man-in-the-Middle</b>: DLMS/COSEM over TLS 1.2/3 (IEC 62056)</li><li><b>DoS</b>: BSI IT-Grundschutz (resilience, monitoring)</li></ul>"
"Control Message","Commands wie setpoints, load reduction, DER dispatch, Konfigurationen für Gateway.","HTTPS/TLS 1.2/3 with CMS-signed JSON (TR-03109), BSI IT-Grundschutz","<ul><li>Communication Protocol Downgrade</li><li>Fingerprinting</li><li>Timestamp Tampering</li><li>DoS</li><li>Man-in-the-Middle</li><li>Traffic Analysis</li><li>Exploit Vulnerable Protocols</li><li>Eavesdropping</li></ul>","<ul><li><b>Communication Protocol Downgrade</b>: HTTPS/TLS 1.2/3 (TR-03109, enforced TLS), BSI IT-Grundschutz (config mgmt)</li><li><b>Fingerprinting</b>: (limited by TLS, not fully mitigated)</li><li><b>Timestamp Tampering</b>: HTTPS/TLS 1.2/3 (signed timestamps), CMS-signed JSON</li><li><b>DoS</b>: BSI IT-Grundschutz (resilience, monitoring)</li><li><b>Man-in-the-Middle</b>: HTTPS/TLS 1.2/3 (TR-03109, TLS handshake)</li><li><b>Traffic Analysis</b>: (limited by TLS, not fully mitigated)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS/TLS 1.2/3 (TR-03109, enforced TLS), BSI IT-Grundschutz (patch mgmt)</li><li><b>Eavesdropping</b>: HTTPS/TLS 1.2/3 (TR-03109, encryption)</li></ul>"
"OCSP Request","Zertifikatsstatusabfrage (SMGW/System).","HTTP(S)/TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li><li>Exploit Vulnerable Protocols</li></ul>","<ul><li><b>Man-in-the-Middle</b>: HTTPS/TLS 1.2/3 (IEC 62351-3)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz (patch mgmt)</li></ul>"
"IDS-Syslog Alarm","Alarm vom IDS an SIEM.","TLS 1.2/3 (RFC 5424, RFC 5425), BSI IT-Grundschutz","<ul><li>Blind Security Monitoring</li><li>DDoS</li><li>Falsifying Log</li><li>Protection System Bypass</li><li>Exploit Vulnerable Protocols</li></ul>","<ul><li><b>Blind Security Monitoring</b>: (no direct mitigation; BSI IT-Grundschutz for monitoring)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Falsifying Log</b>: BSI IT-Grundschutz (log integrity, SIEM validation)</li><li><b>Protection System Bypass</b>: (no direct mitigation; BSI IT-Grundschutz for defense-in-depth)</li><li><b>Exploit Vulnerable Protocols</b>: TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz (patch mgmt)</li></ul>"
"MeterReading Batches","Batch-Übertragung von Zählerdaten an Operational Data Store.","SFTP/TLS 1.3 or HTTPS/TLS 1.3 + CIM-XML, BSI IT-Grundschutz","<ul><li>Man-in-the-Middle</li><li>DDoS</li><li>Ransomeware</li><li>Lateral Movement</li><li>DoS</li></ul>","<ul><li><b>Man-in-the-Middle</b>: SFTP/TLS 1.3, HTTPS/TLS 1.3 (encryption)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Ransomeware</b>: BSI IT-Grundschutz (backup, anomaly detection)</li><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>DoS</b>: BSI IT-Grundschutz (resilience, monitoring)</li></ul>"
"PowerStatusPoll","Gerätestatus an Outage Management System.","ANSI C12.22 / DLMS-COSEM over TLS 1.2/3 (IEC 62056), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li><li>DoS</li></ul>","<ul><li><b>Exploit Vulnerable Protocols</b>: DLMS/COSEM over TLS 1.2/3 (IEC 62056), BSI IT-Grundschutz (patch mgmt)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Man-in-the-Middle</b>: DLMS/COSEM over TLS 1.2/3 (IEC 62056)</li><li><b>DoS</b>: BSI IT-Grundschutz (resilience, monitoring)</li></ul>"
"InfoReport","TAC-Container mit Meter Readings, Status, Zeitstempel.","HTTPS/TLS 1.2 with CMS-signed JSON/XML (TR-03109), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Timestamp Tampering</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>DDoS</li><li>Replay Attack</li><li>Ransomeware</li><li>Backdoored Firmware</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li><li>Fingerprinting</li><li>Eavesdropping</li></ul>","<ul><li><b>False Data Injection</b>: CMS-signed JSON/XML (TR-03109, data signing), HTTPS/TLS 1.2 (IEC 62351-3, message integrity)</li><li><b>Timestamp Tampering</b>: CMS-signed JSON/XML (TR-03109), HTTPS/TLS 1.2 (signed timestamps)</li><li><b>API Abuse</b>: HTTPS/TLS 1.2 (authentication, rate limiting), BSI IT-Grundschutz (API security)</li><li><b>Privacy Leakage via Smart Meter Data</b>: HTTPS/TLS 1.2 (TR-03109, encryption), BSI IT-Grundschutz (access control)</li><li><b>IoT Botnet Participation</b>: (no direct mitigation; BSI IT-Grundschutz for anomaly detection)</li><li><b>Rogue Device Injection</b>: (no direct mitigation; BSI IT-Grundschutz for device inventory)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Replay Attack</b>: HTTPS/TLS 1.2 (nonces, sequence numbers), CMS-signed JSON/XML (TR-03109)</li><li><b>Ransomeware</b>: BSI IT-Grundschutz (backup, anomaly detection)</li><li><b>Backdoored Firmware</b>: (no direct mitigation; BSI IT-Grundschutz for supply chain)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS/TLS 1.2 (TR-03109, enforced TLS), BSI IT-Grundschutz (patch mgmt)</li><li><b>Man-in-the-Middle</b>: HTTPS/TLS 1.2 (TR-03109, TLS handshake)</li><li><b>DoS</b>: BSI IT-Grundschutz (resilience, monitoring)</li><li><b>Fingerprinting</b>: (limited by TLS, not fully mitigated)</li><li><b>Eavesdropping</b>: HTTPS/TLS 1.2 (TR-03109, encryption)</li></ul>"
